No.,book_name,author,publishing-house,date,price,score,url,comment
35,许三观卖血记,余华,作家出版社,2012,24.0,9.2,https://book.douban.com/subject/4760224/,余华作为当代中国一位先锋作家，从1984年发表第一篇小说以来，其作品的风格、主题思想和叙述方式都有较明显的阶段性变化。《许三观卖血记》是他的第三部长篇小说，也是他认为自己首次完全让人物自己开口说话创作出来的小说，而且通过这部作品的创作，他对掌握人物对话有了更多...
36,罗杰疑案:阿加莎·克里斯蒂作品02,[英] 阿加莎·克里斯蒂,新星出版社,2013,28.0,9.2,https://book.douban.com/subject/21371175/,人物弗拉尔斯太太谢泼德医生：第一人称我姐姐卡洛琳拉尔夫·佩顿：罗杰养子拉塞尔：女管家艾克罗伊德太太：罗杰弟弟遗孀弗洛拉：罗杰侄女帕克：男管家雷蒙德：秘书布兰特少校厄休拉：客厅女仆哈蒙德先生：律师神秘人1：医生遇到的去罗杰庄园的问路人神秘人2：打...
37,笑傲江湖（全四册）,金庸,生活·读书·新知三联书店,1994,76.8,9.1,https://book.douban.com/subject/1002299/,"很多男的说到自己.想找个金庸的人代入.多半会选韦小宝,,哦,,这种人是色狼..要不乔峰,恩,,这种人爱幻想...然后张无忌总是让人爱不起来,其他几个男主角,杨过太飘渺,郭靖智力一直被人批判..选来选去.还是看到了金庸全作中最潇洒的一书,&lt;笑傲江湖&gt;男主角的潇洒和其他几个主..."
38,我与地坛:史铁生代表作,史铁生,春风文艺出版社,2002,25.0,9.2,https://book.douban.com/subject/1209899/,听我一句劝：不要因为《我与地毯》而跑到安定门外大街去找“地坛”。你去了，无非也就是逛一逛现在已是旅游胜地的地坛公园。因为史老笔下的那个地坛是一种精神的载体，不是某个客观的地点。再听我一句劝，如果你没有读过《我与地坛》，千万别信导游说：“这就是...
39,献给阿尔吉侬的花束,[美] 丹尼尔·凯斯,广西师范大学出版社,2015,36.0,9.1,https://book.douban.com/subject/26362836/,久到深夜，我终于看完了。最近因为别的事也有一些感悟。再加上看书。书的结尾很压抑，但查理和爱丽斯谈恋爱的那一段，或者查理讲述自己将要突破智慧极限的一段附在刺眼亮光中旅行的经历，都异常炫美，怎么讲呢？人对其自身还是了解的太少太少太少了。我们对爱也了解的...
40,东方快车谋杀案,[英] 阿加莎·克里斯蒂,人民文学出版社,2006,18.0,9.1,https://book.douban.com/subject/1827374/,我读过的侦探小说中，我最喜欢的是阿加莎的。而其中又以《尼罗河上的惨案》和《东方快车谋杀案》为最爱。只所以喜欢阿加莎的作品，是因为它可以带给我读其它侦探小说而无法得到的愉悦。其它的侦探小说大都有一个套路，一件惨案发生了，侦探到现场做一些无人能懂的勘查，接...
41,肖申克的救赎,[美] 斯蒂芬·金,人民文学出版社,2006,29.9,9.1,https://book.douban.com/subject/1829226/,看完此书后对比电影，发现了很多不同之处，以下列出。1。安迪在书中是一个小个子，正因为小，所以才能在最后狭窄细小的排水管道中逃脱。电影中的安迪个子不小，但是演员非常出彩，如果让我选，还是选tim演。2。关于典狱长诺顿。是后来才来肖申克当典狱长的，并...
42,基督山伯爵,[法国] 大仲马,上海译文出版社,1991,43.9,9.1,https://book.douban.com/subject/1085860/,这篇书评可能有关键情节透露1如果<基督山伯爵>上了起点网……[转]如果《基督山伯爵》上了起点网如果那个时候法国也有起点网如果《基督山伯爵》也在上面更新的话，大概会有类似下面的这些回帖吧。1楼：都已经那么多章了，怎么主角还在监狱里！！！怎么男女主角还没见面！！！作者不要再故意拖戏...
43,江城,[美] 彼得·海斯勒,上海译文出版社,2012,36.0,9.1,https://book.douban.com/subject/7060185/,昨晚在一个狠文艺的书店里遇见了何伟的《江城》，说实话我没想到这本书居然获准在大陆出版。而让我惭愧万分的是，当我买回家读完这本书的时候才发现这是它自2012年2月出版以来的第四次加印，我买的是第7万册到第10万册中的一本---如果再刷半年微博，估计我连第五版都会错过了。...
44,城南旧事:纪念普及版,林海音 文,中国青年出版社,2003,16.0,9.1,https://book.douban.com/subject/1254588/,一直以来我都认为，阅读是需要心境的，在什么样的年纪读什么样的书，倘若你觉得一本书不好，很有可能是你没有读懂它，或许再过一些年来读，会疑惑于自己当年的不以为然。对于我来说，林海音的《城南旧事》早已是耳熟能详，可是曾经在书店无数次的翻开它，却从来也提不起阅读的...
